pathway_id;pathway_reaction;pathway_completeness_perc;pathway_completeness;pathway_candidate_reaction;pathway_key_reactions
12DICHLORETHDEG-PWY;1,2-dichloroethane degradation;0;0/4; 0/4;0/1
14DICHLORBENZDEG-PWY;1,4-dichlorobenzene degradation;0;0/7; 0/7;0/2
1CMET2-PWY;folate transformations III (E. coli);66;6/9; 5/9;0/0
2AMINOBENZDEG-PWY;anthranilate degradation III (anaerobic);0;0/2; 0/2;0/0
2ASDEG-PWY;orthanilate degradation;25;(0+1)/4; 0/4;0/0
2PHENDEG-PWY;phenylethylamine degradation I;0;0/2; 0/2;0/1
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY;4-hydroxyphenylacetate degradation;0;0/7; 0/7;0/1
4-HYDROXYMANDELATE-DEGRADATION-PWY;4-hydroxymandelate degradation;0;0/6; 0/6;0/1
4TOLCARBDEG-PWY;4-toluenecarboxylate degradation;0;0/3; 0/3;0/0
6-HYDROXYCINEOLE-DEGRADATION-PWY;1,8-cineole degradation;0;0/3; 0/3;0/0
ACETOACETATE-DEG-PWY;acetoacetate degradation (to acetyl CoA);0;0/3; 0/3;0/1
AEROBACTINSYN-PWY;aerobactin biosynthesis;0;0/4; 0/4;0/0
ALACAT2-PWY;L-alanine degradation II (to D-lactate);33;1/3; 1/3;0/0
ALADEG-PWY;L-alanine degradation I;50;1/2; 1/2;0/1
ALANINE-SYN2-PWY;L-alanine biosynthesis II;0;0/1; 0/1;0/0
ALANINE-VALINESYN-PWY;L-alanine biosynthesis I;50;1/2; 1/2;0/0
ALKANEMONOX-PWY;two-component alkanesulfonate monooxygenase;0;0/2; 0/2;0/1
AMMOXID-PWY;ammonia oxidation I (aerobic);0;0/2; 0/2;0/0
ANAGLYCOLYSIS-PWY;glycolysis III (from glucose);83;10/12; 10/12;0/0
ANAPHENOXI-PWY;L-phenylalanine degradation II (anaerobic);20;1/5; 1/5;0/0
ARABCAT-PWY;L-arabinose degradation I;33;1/3; 1/3;0/0
ARGASEDEG-PWY;L-arginine degradation I (arginase pathway);0;0/3; 0/3;0/0
ARGDEG-III-PWY;L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway);0;0/3; 0/3;0/0
ARGDEG-IV-PWY;L-arginine degradation VIII (arginine oxidase pathway);0;0/4; 0/4;0/1
ARGDEG-V-PWY;L-arginine degradation X (arginine monooxygenase pathway);0;0/3; 0/3;0/1
ARG-GLU-PWY;L-arginine degradation VII (arginase 3 pathway);0;0/2; 0/2;0/0
ARG-PRO-PWY;L-arginine degradation VI (arginase 2 pathway);0;0/3; 0/3;0/2
ARGSPECAT-PWY;spermine biosynthesis;0;0/2; 0/2;0/1
ARGSYNBSUB-PWY;L-arginine biosynthesis II (acetyl cycle);44;4/9; 4/9;1/2
ASPARAGINE-BIOSYNTHESIS;L-asparagine biosynthesis I;0;0/1; 0/1;0/0
ASPARAGINE-DEG1-PWY;L-asparagine degradation I;100;2/2; 2/2;0/0
ASPARAGINESYN-PWY;L-asparagine biosynthesis II;0;0/1; 0/1;0/0
ASPARTATE-DEG1-PWY;L-aspartate degradation I;100;1/1; 1/1;0/0
ASPARTATESYN-PWY;L-aspartate biosynthesis;100;1/1; 1/1;0/0
AST-PWY;L-arginine degradation II (AST pathway);0;0/5; 0/5;0/0
BETSYN-PWY;glycine betaine biosynthesis I (Gram-negative bacteria);0;0/2; 0/2;0/0
BGALACT-PWY;lactose degradation III;0;0/1; 0/1;0/0
BSUBPOLYAMSYN-PWY;spermidine biosynthesis I;0;0/2; 0/2;0/0
CALVIN-PWY;Calvin-Benson-Bassham cycle;61;8/13; 8/13;0/1
CARNMET-PWY;L-carnitine degradation I;75;3/4; 1/4;0/0
CATECHOL-ORTHO-CLEAVAGE-PWY;"catechol degradation to &beta;-ketoadipate";0;0/4; 0/4;0/1
CENTBENZCOA-PWY;benzoyl-CoA degradation II (anaerobic);14;(0+1)/7; 0/7;0/1
CENTFERM-PWY;pyruvate fermentation to butanoate;0;0/8; 0/8;0/0
CHLOROPHYLL-SYN;3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent);11;1/9; 1/9;0/2
CHOLINE-BETAINE-ANA-PWY;choline degradation I;0;0/2; 0/2;0/0
CITRULLINE-DEG-PWY;L-citrulline degradation;100;2/2; 1/2;1/1
COA-PWY;coenzyme A biosynthesis I (prokaryotic);50;2/4; 2/4;1/1
CODH-PWY;reductive acetyl coenzyme A pathway I (homoacetogenic bacteria);22;2/9; 2/9;0/2
CRNFORCAT-PWY;creatinine degradation I;0;0/4; 0/4;0/0
CYANCAT-PWY;cyanate degradation;0;0/2; 0/2;0/1
CYCLOHEXANOL-OXIDATION-PWY;cyclohexanol degradation;0;0/5; 0/5;0/1
CYSTSYN-PWY;L-cysteine biosynthesis I;50;1/2; 1/2;0/0
DAPLYSINESYN-PWY;L-lysine biosynthesis I;66;6/9; 6/9;1/1
DARABCATK12-PWY;D-arabinose degradation I;50;2/4; 2/4;1/1
DARABCAT-PWY;D-arabinose degradation II;50;1/2; 1/2;1/2
DARABITOLUTIL-PWY;D-arabitol degradation;50;1/2; 1/2;0/0
DENITRIFICATION-PWY;nitrate reduction I (denitrification);20;(0+1)/5; 0/5;0/2
DESULFONATION-PWY;benzenesulfonate degradation;0;0/1; 0/1;0/0
DETOX1-PWY;superoxide radicals degradation;33;1/3; 1/3;0/0
DHGLUCONATE-PYR-CAT-PWY;glucose degradation (oxidative);0;0/4; 0/4;0/0
DISSULFRED-PWY;dissimilatory sulfate reduction I (to hydrogen sufide));25;1/4; 1/4;0/0
DTDPRHAMSYN-PWY;dTDP-L-rhamnose biosynthesis;50;2/4; 2/4;0/0
ENTNER-DOUDOROFF-PWY;Entner-Doudoroff shunt;0;0/3; 0/3;0/0
ETOH-ACETYLCOA-ANA-PWY;ethanol degradation I;0;0/2; 0/2;0/1
FAO-PWY;"fatty acid &beta;-oxidation I (generic)";28;2/7; 0/7;0/0
FASYN-ELONG-PWY;fatty acid elongation -- saturated;12;1/8; 1/8;0/0
FERMENTATION-PWY;mixed acid fermentation;38;7/18; 7/18;0/0
FESULFOX-PWY;sulfur oxidation II (Fe+3-dependent);0;0/2; 0/2;0/0
FLUORENE-DEG-9-ONE-PWY;fluorene degradation I;0;0/7; 0/7;0/0
FORMASS-PWY;formaldehyde oxidation IV (thiol-independent);0;0/1; 0/1;0/0
FUCCAT-PWY;fucose degradation;50;2/4; 2/4;1/1
GALACTARDEG-PWY;D-galactarate degradation I;0;0/4; 0/4;0/0
GALACTCAT-PWY;D-galactonate degradation;16;1/6; 1/6;0/0
GALACTITOLCAT-PWY;galactitol degradation;0;0/4; 0/4;0/1
GALACTUROCAT-PWY;D-galacturonate degradation I;0;0/7; 0/7;0/0
GALDEG-PWY;D-galactose degradation II;0;0/2; 0/2;0/1
GALLATE-DEGRADATION-II-PWY;gallate degradation I;0;0/3; 0/3;0/1
GALLATE-DEGRADATION-I-PWY;gallate degradation II;0;0/4; 0/4;0/1
GAMMAHEXCHLORDEG-PWY;"&gamma;-hexachlorocyclohexane degradation";0;0/8; 0/8;0/1
GDPRHAMSYN-PWY;GDP-D-rhamnose biosynthesis;0;0/3; 0/3;0/1
GLNSYN-PWY;L-glutamine biosynthesis I;100;1/1; 1/1;0/0
GLUAMCAT-PWY;N-acetylglucosamine degradation I;50;1/2; 1/2;0/0
GLUCARDEG-PWY;D-glucarate degradation I;0;0/4; 0/4;0/0
GLUCONEO-PWY;gluconeogenesis I;69;9/13; 9/13;0/0
GLUCONSUPER-PWY;D-gluconate degradation;0;0/1; 0/1;0/0
GLUCOSE1PMETAB-PWY;glucose and glucose-1-phosphate degradation;40;2/5; 2/5;0/0
GLUTAMATE-DEG1-PWY;L-glutamate degradation I;100;1/1; 1/1;0/0
GLUTAMATE-SYN2-PWY;L-glutamate biosynthesis II;100;1/1; 1/1;0/0
GLUTAMINDEG-PWY;L-glutamine degradation I;0;0/2; 0/2;0/0
GLUTAMINEFUM-PWY;L-glutamine degradation II;0;0/1; 0/1;0/0
GLUTATHIONESYN-PWY;glutathione biosynthesis;50;1/2; 1/2;0/0
GLUTDEG-PWY;L-glutamate degradation II;100;2/2; 2/2;0/0
GLUTORN-PWY;L-ornithine biosynthesis I;20;1/5; 1/5;0/0
GLUT-REDOX-PWY;glutathione-glutaredoxin redox reactions;0;0/1; 0/1;0/0
GLUTSYNIII-PWY;L-glutamate biosynthesis III;100;1/1; 1/1;0/0
GLUTSYN-PWY;L-glutamate biosynthesis I;0;0/1; 0/1;0/0
GLYCEROLMETAB-PWY;glycerol degradation V;0;0/2; 0/2;0/0
GLYCLEAV-PWY;glycine cleavage;33;1/3; 1/3;0/1
GLYCOCAT-PWY;glycogen degradation I;88;8/9; 7/9;1/1
GLYCOGENSYNTH-PWY;glycogen biosynthesis I (from ADP-D-Glucose);75;3/4; 3/4;0/1
GLYCOLATEMET-PWY;glycolate and glyoxylate degradation I;25;1/4; 1/4;1/1
GLYCOLYSIS;glycolysis I (from glucose 6-phosphate);75;9/12; 9/12;0/0
GLYOXDEG-PWY;glycolate and glyoxylate degradation II;0;0/2; 0/2;0/0
GLYOXYLATE-BYPASS;glyoxylate cycle;14;1/7; 1/7;0/2
GLYSYN-ALA-PWY;glycine biosynthesis III;100;1/1; 1/1;0/0
GLYSYN-PWY;glycine biosynthesis I;100;1/1; 1/1;0/0
GLYSYN-THR-PWY;glycine biosynthesis IV;100;2/2; 1/2;0/0
HCAMHPDEG-PWY;3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate;0;0/5; 0/5;0/1
HEME-BIOSYNTHESIS-II;heme b biosynthesis I (aerobic);50;2/4; 2/4;0/1
HEMESYN2-PWY;heme b biosynthesis II (oxygen-independent);50;2/4; 2/4;0/1
HEXPPSYN-PWY;hexaprenyl diphosphate biosynthesis;0;0/1; 0/1;0/0
HISDEG-PWY;L-histidine degradation I;0;0/4; 0/4;0/0
HISTDEG-PWY;L-histidine degradation IV;0;0/2; 0/2;0/0
HISTSYN-PWY;L-histidine biosynthesis;0;0/10; 0/10;0/0
HOMOCYSDEGR-PWY;L-cysteine biosynthesis III (from L-homocysteine);0;0/2; 0/2;0/0
HOMOSER-METSYN-PWY;L-methionine biosynthesis I;20;1/5; 1/5;0/2
HOMOSERSYN-PWY;L-homoserine biosynthesis;100;3/3; 3/3;0/0
HOMOSER-THRESYN-PWY;L-threonine biosynthesis;50;1/2; 1/2;0/0
IDNCAT-PWY;L-idonate degradation;0;0/3; 0/3;0/0
ILEUDEG-PWY;L-isoleucine degradation I;33;2/6; 2/6;0/0
ILEUSYN-PWY;L-isoleucine biosynthesis I (from threonine);100;5/5; 5/5;1/1
KDO-LIPASYN-PWY;(Kdo)2-lipid A biosynthesis I (E. coli);0;0/2; 0/2;0/0
KDOSYN-PWY;Kdo transfer to lipid IVA I (E. coli);0;0/2; 0/2;0/0
LACTOSECAT-PWY;lactose and galactose degradation I;0;0/4; 0/4;0/0
LACTOSEUTIL-PWY;lactose degradation II;0;0/3; 0/3;0/1
LARABITOLUTIL-PWY;xylitol degradation;50;1/2; 1/2;0/1
LCYSDEG-PWY;L-cysteine degradation II;100;2/2; 1/2;1/1
LEU-DEG2-PWY;L-leucine degradation I;57;4/7; 4/7;1/1
LEUSYN-PWY;L-leucine biosynthesis;50;3/6; 3/6;0/0
LIPA-CORESYN-PWY;lipid A-core biosynthesis (E. coli K-12);9;(0+1)/11; 0/11;0/0
LIPAS-PWY;triacylglycerol degradation;0;0/7; 0/7;0/1
LIPASYN-PWY;phospholipases;0;0/5; 0/5;0/0
LYSINE-AMINOAD-PWY;L-lysine biosynthesis IV;33;(1+2)/9; 1/9;0/1
LYXMET-PWY;L-lyxose degradation;0;0/4; 0/4;0/1
MALTOSECAT-PWY;maltose degradation;0;0/2; 0/2;0/1
MANNCAT-PWY;D-mannose degradation;0;0/1; 0/1;0/0
MANNIDEG-PWY;mannitol degradation I;0;0/1; 0/1;0/0
M-CRESOL-DEGRADATION-PWY;m-cresol degradation;20;(0+1)/5; 0/5;0/(1-1) with 1 key reactions of unclear state
MENAQUINONESYN-PWY;menaquinol-8 biosynthesis;100;1/1; 1/1;0/0
METHIONINE-DEG1-PWY;L-methionine degradation I (to L-homocysteine);33;1/3; 1/3;0/0
METHYLGALLATE-DEGRADATION-PWY;methylgallate degradation;0;0/5; 0/5;0/1
N2FIX-PWY;nitrogen fixation I (ferredoxin);0;0/1; 0/1;0/0
NAD-BIOSYNTHESIS-III;NAD biosynthesis III (from nicotinamide);0;0/2; 0/2;0/1
NAD-BIOSYNTHESIS-II;NAD salvage pathway III (to nicotinamide riboside);33;1/3; 1/3;1/2
NADPHOS-DEPHOS-PWY-1;NAD phosphorylation and transhydrogenation;50;1/2; 1/2;0/0
NAGLIPASYN-PWY;lipid IVA biosynthesis (E. coli);0;0/6; 0/6;0/0
NONMEVIPP-PWY;methylerythritol phosphate pathway I;55;5/9; 3/9;1/1
NONOXIPENT-PWY;pentose phosphate pathway (non-oxidative branch);60;3/5; 3/5;0/0
NOPALINEDEG-PWY;nopaline degradation;0;0/1; 0/1;0/0
OCTOPINEDEG-PWY;octopine degradation;0;0/1; 0/1;0/0
ORN-AMINOPENTANOATE-CAT-PWY;L-ornithine degradation I (L-proline biosynthesis);0;0/1; 0/1;0/0
OXIDATIVEPENT-PWY;pentose phosphate pathway (oxidative branch) I;66;2/3; 2/3;0/0
P101-PWY;ectoine biosynthesis;40;2/5; 2/5;0/1
P105-PWY;TCA cycle IV (2-oxoglutarate decarboxylase);33;4/12; 4/12;1/2
P108-PWY;pyruvate fermentation to propanoate I;42;3/7; 3/7;1/1
P121-PWY;adenine and adenosine salvage I;50;1/2; 1/2;0/0
P122-PWY;heterolactic fermentation;57;11/19; 11/19;0/0
P124-PWY;Bifidobacterium shunt;64;11/17; 11/17;0/2
P141-PWY;atrazine degradation I (aerobic);0;0/3; 0/3;0/1
P161-PWY;acetylene degradation (anaerobic);50;3/6; 3/6;0/1
P162-PWY;L-glutamate degradation V (via hydroxyglutarate);7;1/13; 1/13;0/0
