Species;EMCF01;EMCF02;EMCF03;EMCF04;EMCF05;EMCF06;EMCF09;EMCF10;EMCF13;EMCF14;EMCF16;EMCF17;EMCF18;EMCF19;EMCF21;EMCF22;EMCF25;EMCF26;EMCF27;EMCF28;EMCF29;EMCF30;EMCF31;EMCF32;EMCF33;EMCF34;EMCF35;EMCF36;EMCF37;KGCF01;KGCF02;KGCF03;KGCF04;KGCF05;KGCF07;KGCF13;KGCF14;KGCF15;KGCF16;KGCF17;KGCF18;KGCF19;KGCF21;KGCF22;KGCF24;KGCF25;KGCF26;KGCF27;KGCF28;KGCF29;KGCF30;KGCF32;KGCF33;KGCF35;KGCF36;KGCF37;KGCF38;KGCF39;KGCF40;KGCF41;KGCF42;KGCF44;KGCF45;KGCF46;KGCF47;KGCF48;KGCF49;KGCF50;KGCF51;KGCF52;KGCF53;KGCF55;KGCF56;KGCF57;KGCF58;MCF01s1;MCF02s1;MCF03s1;MCF04s1;MCF05s1;MCF06s1;MCF07s1;MCF08s1;MCF09s1;MCF10s1;MCF11s1;MCF13s1
NC_014370.1_Prevotella_melaninogenica_ATCC_25845_chromosome_I__complete_sequence;57.85195;0.27203;1.5045;5.79009;0.63861;57.74614;25.90896;52.48317;0.17738;0.42934;146.14627;5.05065;0.73671;0.05156;7.73446;0.09996;2.89073;82.44181;1.23495;0.20011;1.06151;69.85638;0.35422;8.31707;0.74342;70.06012;1.18008;8.3523;5.89534;24.98608;0.3986;0.28242;6.34864;27.55281;0.00243;157.634;4406.33474;0.26065;188.39114;1401.26173;0.20295;6.13766;139.98213;17.43784;35.36326;490.62317;188.98285;12.81757;12.4571;18.67446;0.7903;0.6799;31.3768;39.41817;7.34662;3.77692;137.13499;1.17625;2165.5996;1.63648;0.75952;12.19946;1157.2191;0.06289;0;0.43838;1.47974;22.61748;98.06575;0.02876;22.12612;88.11944;1.76732;9.31819;35.97654;0.02316;0.0003;0;3.09292;2.75948;0.80391;0.05573;0;2.88271;12.36703;19.6102;0.03157
NZ_CP012068.1_Eubacterium_sulci_ATCC_35585_chromosome__complete_genome;29.12215;0.00907;0.00315;0.00815;0.01813;2.78691;0.33222;0.90767;0.00717;0.00128;0.1954;0.26713;0;0.00263;0.47664;0.00394;0.02555;0.13691;0.00141;0.122;0.0112;0.12319;0.00065;0.07311;0.22278;6.38553;0.02677;1.82233;0.13878;4.7748;0.01409;0.06114;0.05694;1.90102;0.00151;9.56363;5.54488;0.0027;1.02134;2.13693;0.03811;0.30014;27.19772;0.93757;7.34136;172.70664;100.74606;6.89695;8.86596;0.36997;0.09051;0.16361;2.85916;36.68599;0.0924;0.26487;22.31199;0.00612;151.30316;0.026;1.21947;0.03212;1.25799;0.01392;0;0.23476;0.00024;0.44306;4.84819;0.00975;0.04957;0.28948;0.01322;0.01042;0.39003;0.00101;0.00031;0;0.06106;0.27501;0.0803;0.01224;0;0.18139;0.15496;0.76173;0.05331
NZ_CP020566.1_Veillonella_atypica_strain_OK5_chromosome__complete_genome;24.5154;0.05568;2.60531;2.6415;0.09101;8.34729;18.07723;121.7713;0.01084;0.33813;42.65517;3.07668;0.01635;0.3311;10.051;0.06324;0.01736;63.48538;0.18082;0.1863;0.36109;21.46189;0.17648;11.05546;1.17046;13.11101;0.07651;1.01625;3.27697;4.67111;0.10597;0.23191;1.65509;34.45318;1.91858;31.0236;770.71455;1.34268;209.89039;2993.62208;307.11028;7.96178;27.68803;2.73614;146.07046;39.28779;68.32606;5.23563;4.37601;32.25574;0.49706;155.86913;30.53243;77.64109;1.42433;1.40096;149.94959;4.96584;414.56695;1.29968;665.11087;7.17713;242.84354;1992.71272;0.06429;0.55403;0.08678;5.53859;120.20089;0.02344;8.83848;38.91179;0.49207;3.61031;18.32776;0.08942;0.00052;0;0.69877;19.83239;0.55152;0.10663;0.00072;5.57768;1.17629;0.27469;0.0113
NC_015678.1_Streptococcus_parasanguinis_ATCC_15912__complete_sequence;23.19483;0.08701;1.78986;6.26168;0.55523;4.51593;167.76786;61.46309;0.02665;0.32842;18.3722;0.81083;0.06278;1.11263;12.33988;0.18094;2.76435;9.44163;2.09203;36.06064;9.05628;26.25718;0.08221;14.22505;2.34951;24.76969;0.30669;8.13883;5.4627;0.52069;14.82234;0.22266;8.76674;18.04339;0.05309;82.13231;498.49741;3.58092;82.08333;5344.45707;453.74689;0.93635;15.43;35.88038;94.92898;42.29481;125.37796;3.684;4.33572;17.72061;1.62527;144.18845;17.81562;94.13532;5.87922;1.28536;27.75594;1.02949;615.89604;2.57908;711.16653;7.19984;397.11564;1320.41931;0.18042;17.73012;1.72267;51.38727;1216.96673;0.47043;12.23265;28.08094;0.76817;1.21225;30.96367;0.14426;1.83662;12.39153;1.28617;3.17154;1.56793;2.43831;0.02461;1.39195;0.4195;0.46881;0.20483
NC_013715.1_Rothia_mucilaginosa_DY_18__complete_genome;21.89337;0.29628;1.44206;11.20295;15.73726;19.84907;1592.88572;52.0654;19.99302;0.68583;99.3229;4.17986;0.134;2.41116;0.06743;0.40441;8.90525;19.17511;9.86876;782.02554;275.2502;82.46028;0.23654;24.59864;5.47891;108.59257;1.00156;36.02524;3.38429;6.86969;21.19016;0.99791;47.03091;27.09317;28.86349;376.22077;265.34464;32.9607;394.81445;10071.56372;2452.36736;7.54161;36.33075;85.84251;155.86993;82.21312;885.98758;49.40093;33.17332;17.73552;6.21752;364.95915;54.79723;177.82824;14.79823;3.15536;108.31458;4.75689;1843.33337;3.86692;929.47876;15.67337;1415.47484;1705.39392;0.5391;358.64134;1.5654;898.30381;3970.7148;0.38711;24.61836;49.34926;1.33288;3.98883;66.5071;0.1315;1.42356;88.38324;9.0228;294.49204;22.39704;23.50401;0;0.41851;42.44763;2.99762;1.88354
NZ_LR134375.1_Veillonella_dispar_strain_NCTC11831_chromosome_1;16.66599;0.06262;3.13063;3.48776;0.68552;11.27359;81.64191;16.84636;0.04637;0.1792;104.62014;1.317;0.06543;0.5751;89.58301;0.12758;0.13347;11.52985;0.22556;1.44059;0.92303;37.81949;0.06619;11.84778;0.56689;22.74695;0.17854;3.70757;4.25043;4.31444;1.52769;0.2778;5.97219;15.59838;9.62415;89.00276;2322.80593;2.18206;190.90812;1688.18894;1449.28499;1.92893;36.23524;14.68922;74.42842;27.10805;91.28014;10.95571;6.30865;14.12252;0.48101;138.79228;13.23751;51.33802;7.66883;2.59329;119.09414;7.32261;1330.11928;3.91611;516.99448;4.02059;719.15481;37.0306;0.00077;5.57513;0.37803;44.49229;1501.64105;0.12966;7.43358;21.39375;1.00909;0.46378;25.22363;0.00764;0;12.60653;1.21928;14.3803;0.69111;0.41312;0.00422;1.25512;9.33555;3.32275;0.12035
NC_009802.2_Campylobacter_concisus_13826__complete_genome;14.07336;0.06189;1.69427;2.08798;0.16658;4.3859;7.57764;9.93058;0.00608;0.03784;14.16886;1.52953;0.12949;0.10465;0.46728;0.01962;0.9193;38.62178;0.10382;0.33566;0.43578;3.36118;0.08972;1.79132;0.58338;13.0806;0.15189;2.55909;0.99091;9.96398;0.08895;0.07417;1.62852;72.69705;0.00064;14.62046;695.37473;0.26557;61.38046;1070.34396;0.2988;11.75102;35.18373;3.56966;17.57572;290.49464;223.06342;10.48444;9.23342;24.57501;1.83883;0.00101;21.44005;40.88431;4.26572;1.83285;91.08798;0.44896;292.4263;1.04991;0.21357;1.21954;181.78813;0.00787;0;12.16798;0.00041;10.45155;119.25054;0.22056;0.09283;19.41498;1.44583;0;2.99567;0.00076;0;6.50265;0.5507;20.75366;0.17839;0.02243;0;0.69212;2.02396;1.49558;0.02281
NZ_CP046313.1_Gemella_sanguinis_strain_FDAARGOS_742_chromosome__complete_genome;9.1554;0.03095;0.13902;1.10054;1.22969;5.69682;96.28522;1.21098;0.04631;0.02783;2.15254;1.78797;0.00008;0.00826;0.22382;0.06928;0.37755;0.27931;1.55646;107.51195;3.80296;0.05561;0.0499;3.12365;0.09115;20.07912;0.45164;3.08085;0.77099;1.1513;0.04325;0.08336;6.63123;3.35846;0.12582;44.10483;18.32331;0.50162;0.79599;1126.70193;3.48661;0.42007;8.00808;31.1084;3.78097;7.12425;142.62173;8.05193;8.17173;2.43001;0.19298;0.45322;1.42511;4.07811;0.65409;0.74138;2.24467;0.1088;250.61683;2.29524;0.61308;0.18821;148.92287;0.99716;0.00978;35.83842;0.01292;171.26533;733.65669;0.39225;0.29204;0.52691;0.64712;0.1198;0.44678;0.00829;0.00609;0;1.77415;56.2406;1.66975;0.92487;0;0.07348;0.01004;0.87362;0.31293
NC_015964.1_Haemophilus_parainfluenzae_T3T1__complete_genome;8.62089;0.10903;0.33827;2.75792;6.70308;13.8666;61.19405;4.11187;0.31295;0.36382;104.08047;5.11073;0.13068;0.01021;319.905;0.22709;0.00152;32.07617;1.50424;185.88398;31.87437;69.39623;0.37165;4.99707;0.41863;68.90892;0.29891;14.98905;0.57972;3.1185;0.11121;0.26614;33.88961;3.4587;1.76684;71.17414;11.78258;0.16452;3.19083;744.51161;8.39349;1.01358;173.136;108.28767;14.69878;20.98495;590.57567;55.40966;22.95221;2.78957;0.89047;0.89582;6.54665;5.7836;1.76324;1.12169;12.19311;0.76487;420.35118;1.51677;0.60901;0.1347;365.27767;0.21268;0.00176;227.43191;0.01537;404.09991;453.63799;4.23997;0.0724;0.05343;2.57384;0.08758;2.03577;0.02048;0.00026;0;7.53023;0.00059;4.98989;3.19482;0;0.29773;5.43033;2.16992;2.17681
NZ_CP023863.1_Prevotella_jejuni_strain_CD3:33_chromosome_I__complete_sequence;7.63068;0.08969;12.29336;0.52191;0.28694;3.60576;1.4297;35.76796;0.01283;0.03092;12.65188;0.50586;0.06509;0.01059;0.77868;0.00971;2.45087;4.80137;0.17216;0.03651;0.05374;3.73862;0.0298;0.61631;1.95686;4.26195;0.09527;0.34021;0.46752;11.13661;0.02389;0.13078;0.37347;17.13198;0.00059;29.61974;610.65519;0.11099;95.90143;74.34091;0.08269;2.709;9.07267;1.13003;137.77407;37.05349;13.3727;1.28519;1.74924;6.32388;0.14151;13.48869;23.25292;111.79951;0.56802;1.54183;629.18639;0.05947;623.88482;0.22484;0.06759;1.10845;75.65349;0.03294;0;0.15923;0.07486;2.71223;8.44262;0.00455;1.33821;6.81373;0.10719;0.75467;2.89615;0.00795;0;0;0.22862;0.69635;0.09322;0.20487;0;2.39258;0.97771;1.25967;0.03001
