Sequences	Score	Value
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1078	0.0   
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1078	0.0   
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1078	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	778	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	778	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	778	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	716	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	716	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	716	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	716	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	716	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	716	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	616	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	616	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	616	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	565	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	565	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	565	0.0   
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	553	3e-178
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	553	3e-178
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	553	3e-178
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	540	1e-173
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	540	1e-173
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	540	1e-173
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	544	4e-172
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	544	4e-172
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	544	4e-172
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	532	5e-171
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	532	5e-171
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	532	5e-171
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	505	1e-161
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	505	1e-161
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	505	1e-161
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	504	4e-161
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	504	4e-161
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	504	4e-161
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	493	2e-157
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	493	2e-157
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	493	2e-157
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	487	3e-155
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	487	3e-155
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	487	3e-155
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	487	3e-155
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	487	3e-155
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	487	3e-155
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	486	1e-154
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	486	1e-154
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	486	1e-154
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	483	6e-154
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	483	6e-154
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	483	6e-154
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	461	8e-145
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	461	8e-145
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	461	8e-145
Q9KIJ3.2|MTSA_STRMU|Full=Metal ABC transporter subs	444	2e-140
