Sequences	Score	Value
A8AWG3.1|LEPA_STRGC|Full=Elongation factor 4|Short	1149	0.0   
A8AVA8.1|DNAK_STRGC|Full=Chaperone protein DnaK|Al	1090	0.0   
A8AZE1.1|CH60_STRGC|Full=60 kDa chaperonin|AltName	924	0.0   
A7X2Y7.1|LEPA_STAA1|Full=Elongation factor 4|Short	915	0.0   
O07631.1|BIPA_BACSU|Full=50S ribosomal subunit asse	912	0.0   
Q9Z6H4.2|GUAA_LACLM|Full=GMP synthase [glutamine-hy	832	0.0   
A7X2Y1.1|DNAK_STAA1|Full=Chaperone protein DnaK|Al	817	0.0   
O31673.1|CLPE_BACSU|Full=ATP-dependent Clp protease	781	0.0   
A8AWM9.1|OBG_STRGC|Full=GTPase Obg|Full=G	771	0.0   
Q8DPV8.1|OBG_STRR6|Full=GTPase Obg|Full=G	769	0.0   
Q04KK7.1|OBG_STRP2|Full=GTPase Obg|Full=G	769	0.0   
B2IQ29.1|OBG_STRPS|Full=GTPase Obg|Full=G	768	0.0   
A3CM33.1|OBG_STRSV|Full=GTPase Obg|Full=G	766	0.0   
A4W0M2.1|OBG_STRS2|Full=GTPase Obg|Full=G	764	0.0   
B8ZPS8.1|OBG_STRPJ|Full=GTPase Obg|Full=G	764	0.0   
Q97QW8.1|OBG_STRPN|Full=GTPase Obg|Full=G	763	0.0   
B5E4J4.1|OBG_STRP4|Full=GTPase Obg|Full=G	763	0.0   
A4VUC8.1|OBG_STRSY|Full=GTPase Obg|Full=G	763	0.0   
B1IBL9.1|OBG_STRPI|Full=GTPase Obg|Full=G	760	0.0   
Q5LYR4.1|OBG_STRT1|Full=GTPase Obg|Full=G	757	0.0   
Q5M3C8.1|OBG_STRT2|Full=GTPase Obg|Full=G	757	0.0   
Q03JJ8.1|OBG_STRTD|Full=GTPase Obg|Full=G	757	0.0   
P0A5W9.1|RIR1_MYCBO|Full=Ribonucleoside-diphosphate	749	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	736	0.0   
B5XLZ0.1|OBG_STRPZ|Full=GTPase Obg|Full=G	734	0.0   
Q8P0I6.1|OBG_STRP8|Full=GTPase Obg|Full=G	733	0.0   
Q5XBM1.1|OBG_STRP6|Full=GTPase Obg|Full=G	733	0.0   
