Sequences	Score	Value
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1072	0.0   
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1072	0.0   
Q97P83.1|SECA2_STRPN|Full=Protein translocase subun	1072	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	782	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	782	0.0   
P42359.1|YSC6_STRGC|Full=Putative zinc metalloprote	782	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	736	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	736	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	736	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	736	0.0   
Q88Z31.1|FTSH_LACPL|Full=ATP-dependent zinc metallo	736	0.0   
C6VKW6.1|FTSH_LACPJ|Full=ATP-dependent zinc metallo	736	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	619	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	619	0.0   
P55994.2|DNAK_HELPY|Full=Chaperone protein DnaK|Al	619	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	564	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	564	0.0   
P95765.1|PPAC_STRGC|Full=Probable manganese-depende	564	0.0   
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	563	0.0   
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	563	0.0   
P42363.1|MTSA_STREE|Full=Manganese ABC transporter 	563	0.0   
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	551	1e-177
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	551	1e-177
P31305.1|MTSA_STRPA|Full=Manganese ABC transporter 	551	1e-177
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	544	3e-175
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	544	3e-175
P42358.1|HUTI_STRGN|Full=Imidazolonepropionase|Alt	544	3e-175
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	542	2e-171
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	542	2e-171
A1C3L9.1|GTFA_STRPA|Full=UDP-N-acetylglucosamine--p	542	2e-171
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	518	3e-166
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	518	3e-166
Q9L5X1.1|MTSA_STRAP|Full=Manganese ABC transporter 	518	3e-166
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	516	1e-165
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	516	1e-165
Q9L5W9.1|MTSA_STROR|Full=Manganese ABC transporter 	516	1e-165
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	501	4e-160
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	501	4e-160
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	501	4e-160
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	501	4e-160
P0A4G3.1|MTSA_STRR6|Full=Manganese ABC transporter 	501	4e-160
P0A4G2.1|MTSA_STRPN|Full=Manganese ABC transporter 	501	4e-160
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	499	2e-159
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	499	2e-159
Q9L5X0.1|MTSA_STRMT|Full=Manganese ABC transporter 	499	2e-159
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	496	2e-158
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	496	2e-158
P31304.1|MTSA_STRSA|Full=Manganese ABC transporter 	496	2e-158
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	482	2e-153
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	482	2e-153
P42364.1|MTSA_STRGN|Full=Manganese ABC transporter 	482	2e-153
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	481	1e-151
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	481	1e-151
Q97P79.1|SECY2_STRPN|Full=Accessory Sec system prot	481	1e-151
Q9KIJ3.2|MTSA_STRMU|Full=Metal ABC transporter subs	436	1e-137
Q9KIJ3.2|MTSA_STRMU|Full=Metal ABC transporter subs	436	1e-137
Q9KIJ3.2|MTSA_STRMU|Full=Metal ABC transporter subs	436	1e-137
Q9X3X7.3|TOP1_ZYMMO|Full=DNA topoisomerase 1|AltNa	431	2e-124
Q9X3X7.3|TOP1_ZYMMO|Full=DNA topoisomerase 1|AltNa	431	2e-124
Q9X3X7.3|TOP1_ZYMMO|Full=DNA topoisomerase 1|AltNa	431	2e-124
P39793.1|PBPA_BACSU|Full=Penicillin-binding protein	387	1e-112
P39793.1|PBPA_BACSU|Full=Penicillin-binding protein	387	1e-112
P39793.1|PBPA_BACSU|Full=Penicillin-binding protein	387	1e-112
Q53654.1|CNA_STAAU|Full=Collagen adhesin|Flags: Pr	375	4e-106
Q53654.1|CNA_STAAU|Full=Collagen adhesin|Flags: Pr	375	4e-106
Q53654.1|CNA_STAAU|Full=Collagen adhesin|Flags: Pr	375	4e-106
P42360.1|MTSC_STRGN|Full=Manganese import ATP-bindi	331	9e-102
